,Summary,Season,Wedding_destination,Guest,Location,Describing_words,Priority_1,Priority_2,Priority_3,Estimate,Attire_Accessories,Beauty_spa,Entertainment,Flowers_Decorations,Gifts,invitations,Photography,Planner,venue_Catering_rental
830,"How much does a fall wedding in Austin TX with 100 to 150 guests cost? The ceremony is at some other location and reception is at a resort or hotel. The type of wedding is Fun, Unique, Modern. The wedding color theme is Black. The estimated cost for this wedding is $37,500.","
            
                Fall Wedding
                
                
            
        ","
        
            Austin TX
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $300 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Fun, Unique, Modern 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Photography & Video,"
$37,500 is the Estimated Wedding Cost
","$2,836",$483,$244,$263,"$6,185","$7,816","$1,740","$2,588",$917
831,"How much does a summer wedding in Bridgeport CT with 150 to 200 guests cost? The type of wedding is DIY, Romantic, Vintage. The wedding color theme is Greens. The estimated cost for this wedding is $37,431.","
            
                Summer Wedding
                
                
            
        ","
        
            Bridgeport CT
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $214 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Greens
            
        ",,,,,"
$37,431 is the Estimated Wedding Cost
","$1,937",$566,$206,$336,"$1,220","$6,722","$2,030","$4,094",$902
832,"How much does a spring wedding in Los Angeles CA with 100 to 150 guests cost? The wedding is at some other location. The type of wedding is Fun, Romantic, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $28,214.","
            
                Spring Wedding
                
                
            
        ","
        
            Los Angeles CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $226 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Blues
            
        ",,,,"
$28,214 is the Estimated Wedding Cost
","$2,763",$472,$203,$330,"$1,222","$4,328","$1,678","$2,795",$630
833,"How much does a fall wedding in Hendersonville NC with 50 to 100 guests cost? The type of wedding is Elegant, Intimate, Experience. The wedding color theme is White. The estimated cost for this wedding is $18,626.","
            
                Fall Wedding
                
                
            
        ","
        
            Hendersonville NC
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $248 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                White
            
        ",,,,"
$18,626 is the Estimated Wedding Cost
","$2,333",$302,$152,$254,"$2,897","$4,691","$2,145",$369,$264
834,"How much does a wedding in Los Angeles CA with 150 to 200 guests cost? The wedding is at some other location. The type of wedding is Fun, Romantic, Traditional.  The estimated cost for this wedding is $35,139.","
            
                None specified
                
            
        ","
        
            Los Angeles CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $201 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                None specified
            
        ",,,,"
$35,139 is the Estimated Wedding Cost
","$2,283",$682,$203,$330,"$1,549","$6,415","$2,486","$3,434",$989
835,"How much does a fall wedding in New Harmony IN with 50 to 100 guests cost? The wedding is at a lakefront. The type of wedding is Romantic, Rustic, Simple. The wedding color theme is Reds. The estimated cost for this wedding is $20,793.","
            
                Fall Wedding
                
                
            
        ","
        
            New Harmony IN
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $277 to the total amount spent.
                    
                    
                
        

        ","
                
                a lakefront
            ","
    	    
            
            
                Reds
            
        ",,,,"
$20,793 is the Estimated Wedding Cost
","$1,732",$228,$147,$253,"$1,279","$3,089","$1,767",$355,$319
836,"How much does a winter wedding in Three Oaks MI with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Casual, Fun, Simple. The wedding color theme is Reds. The estimated cost for this wedding is $49,879.","
            
                Winter Wedding
                
                
            
        ","
        
            Three Oaks MI
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $200 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Reds
            
        ",,,,"
$49,879 is the Estimated Wedding Cost
","$2,103","$1,037",$202,$240,$773,"$14,572","$3,728","$3,565","$1,558"
837,"How much does a fall wedding in Monticello IL with 50 to 100 guests cost? The type of wedding is Formal, Unique, Intimate. The wedding color theme is Purples. The estimated cost for this wedding is $21,277.","
            
                Fall Wedding
                
                
            
        ","
        
            Monticello IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $284 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Purples
            
        ",,,,,"
$21,277 is the Estimated Wedding Cost
","$1,819",$182,$349,$930,"$3,836","$4,976",$795,$585,$338
838,"How much does a fall wedding with 50 to 100 guests cost? The type of wedding is Formal, Unique, Intimate. The wedding color theme is Purples. The estimated cost for this wedding is $20,509.","
            
                Fall Wedding
                
                
            
        ","
        
            None specified
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $273 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Purples
            
        ",,,,,"
$20,509 is the Estimated Wedding Cost
","$1,819",$174,$317,$888,"$3,972","$4,595",$771,$598,$338
839,"How much does a summer wedding in Champaign IL with 50 to 100 guests cost? The type of wedding is Formal, Unique, Intimate. The wedding color theme is Purples. The estimated cost for this wedding is $20,797.","
            
                Summer Wedding
                
                
            
        ","
        
            Champaign IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $277 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                Purples
            
        ",,,,,"
$20,797 is the Estimated Wedding Cost
","$1,819",$182,$349,$930,"$3,836","$4,976",$795,$381,$338
840,"How much does a spring wedding in Manheim PA with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Rustic, Simple, Other. The wedding color theme is Reds. The estimated cost for this wedding is $53,214.","
            
                Spring Wedding
                
                
            
        ","
        
            Manheim PA
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $213 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Reds
            
        ",,,,"
$53,214 is the Estimated Wedding Cost
","$2,030","$1,023",$259,$297,"$1,035","$16,577","$3,669","$4,111","$1,406"
841,"How much does a spring wedding in Champaign IL with 150 to 200 guests cost? The wedding is at some other location. The type of wedding is Fun, Simple, Experience. The wedding color theme is Blues. The estimated cost for this wedding is $25,588.","
            
                Spring Wedding
                
                
            
        ","
        
            Champaign IL
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $146 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Blues
            
        ",,,,"
$25,588 is the Estimated Wedding Cost
","$1,940",$576,$146,"$1,249","$6,104","$6,455",$884,"$1,396","$4,694"
842,"How much does a wedding in Amarillo with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Formal, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $17,411.","
            
                None specified
                
            
        ","
        
            Amarillo
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $232 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Formal, Traditional 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Bakery (Wedding Cake/dessert),Event Location/Venue,"
$17,411 is the Estimated Wedding Cost
","$1,925",$306,$164,$257,"$2,541","$5,631","$1,981",$374,$294
843,"How much does a winter wedding in Annapolis MD with 100 to 150 guests cost? The wedding is at a historical building. The type of wedding is Elegant, Romantic, Vintage. The wedding color theme is Greens. The estimated cost for this wedding is $51,995.","
            
                Winter Wedding
                
                
            
        ","
        
            Annapolis MD
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $416 to the total amount spent.
                    
                    
                
        

        ","
                
                a historical building
            ","
    	    
            
            
                Greens
            
        ",,,,"
$51,995 is the Estimated Wedding Cost
","$2,783",$438,$323,$321,"$6,622","$7,855","$1,606","$2,866",$595
844,"How much does a summer wedding in Milwaukee with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Fun, Garden, Romantic. The wedding color theme is Greens. The estimated cost for this wedding is $21,173.","
            
                Summer Wedding
                
                
            
        ","
        
            Milwaukee
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $282 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Greens
            
        ",,,,"
$21,173 is the Estimated Wedding Cost
","$1,411",$201,$152,$273,"$1,238","$2,777",$711,"$1,563",$170
845,"How much does a wedding in Louisville KY with 100 to 150 guests cost? The wedding is at a farm or barn. The type of wedding is Fun, Romantic, Farm/Barn. The wedding color theme is White. The estimated cost for this wedding is $19,518.","
            
                None specified
                
            
        ","
        
            Louisville KY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $156 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                White
            
        ",,,,"
$19,518 is the Estimated Wedding Cost
","$1,271",$422,$155,$256,"$1,514","$6,746","$2,820",$818,"$1,069"
846,"How much does a wedding in Milwaukee WI with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility. The type of wedding is Elegant, Fun, Traditional. The wedding color theme is Blues. The estimated cost for this wedding is $39,996.","
            
                None specified
                
            
        ","
        
            Milwaukee WI
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $160 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Fun, Traditional 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Photography & Video,"
$39,996 is the Estimated Wedding Cost
","$2,620",$897,$266,$273,"$1,118","$13,175","$3,681","$1,179",$846
847,"How much does a fall wedding in coweta  with 25 to 50 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Elegant, Fun, Modern. The wedding color theme is Other. The estimated cost for this wedding is $14,473.","
            
                Fall Wedding
                
                
            
        ","
        
            coweta 
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $381 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Elegant, Fun, Modern 
            
        ","Event Food Service, Catering, Bar Service",Event Location/Venue,Photography & Video,"
$14,473 is the Estimated Wedding Cost
","$2,112",$133,$244,"$1,357","$3,284",$471,$170,$100,"$5,159"
848,"How much does a wedding in Fresno CA with 150 to 200 guests cost? The wedding is at a ranch. The type of wedding is Elegant, Formal, Romantic. The wedding color theme is Pinks. The estimated cost for this wedding is $33,433.","
            
                None specified
                
            
        ","
        
            Fresno CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $191 to the total amount spent.
                    
                    
                
        

        ","
                
                a ranch
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$33,433 is the Estimated Wedding Cost
","$2,201",$892,$186,$300,"$8,321","$9,119","$4,061","$1,233","$1,001"
849,"How much does a summer wedding in San Diego CA with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Fun, Romantic, Vintage. The wedding color theme is White. The estimated cost for this wedding is $27,854.","
            
                Summer Wedding
                
                
            
        ","
        
            San Diego CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $371 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                White
            
        ",,,,"
$27,854 is the Estimated Wedding Cost
","$4,443",$127,"$6,842","$2,508","$5,494",$972,"$7,389",,
850,"How much does a fall wedding in Atlanta GA with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Romantic, Theme. The wedding color theme is Black. The estimated cost for this wedding is $20,859.","
            
                Fall Wedding
                
                
            
        ","
        
            Atlanta GA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $278 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Black
            
        ",,,,"
$20,859 is the Estimated Wedding Cost
","$2,154",$252,$105,$266,"$2,660","$4,349","$2,257",$328,$326
851,"How much does a winter wedding in Lakeland FL with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Formal, Romantic, Vintage. The wedding color theme is Black. The estimated cost for this wedding is $19,735.","
            
                Winter Wedding
                
                
            
        ","
        
            Lakeland FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $263 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Black
            
        ",,,,"
$19,735 is the Estimated Wedding Cost
","$3,088",$305,$257,$934,"$4,268","$4,043",$940,$453,$163
852,"How much does a summer wedding in Leesburg VA with 50 to 100 guests cost? The wedding is at a farm or barn. The type of wedding is Rustic, Farm/Barn, Experience. The wedding color theme is Blues. The estimated cost for this wedding is $26,398.","
            
                Summer Wedding
                
                
            
        ","
        
            Leesburg VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $352 to the total amount spent.
                    
                    
                
        

        ","
                
                a farm or barn
            ","
    	    
            
            
                Blues
            
        ",,,,"
$26,398 is the Estimated Wedding Cost
","$2,690",$211,$201,$325,"$1,751","$3,837",$729,"$2,128",$272
853,"How much does a summer wedding in Lincoln, ne with 200 to 300 guests cost? The type of wedding is DIY, Modern, Farm/Barn. The wedding color theme is White. The estimated cost for this wedding is $51,600.","
            
                Summer Wedding
                
                
            
        ","
        
            Lincoln, ne
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $206 to the total amount spent.
                    
                    
                
        

        ","
    	    
            
            
                White
            
        ",,,,,"
$51,600 is the Estimated Wedding Cost
","$1,922",$921,$231,$261,"$5,195","$14,256","$3,138","$3,733","$1,379"
854,"How much does a spring wedding with more than 300 guests cost? The ceremony is at a church or other place of worship and reception is at a banquet hall. The type of wedding is Romantic, Traditional, Modern. The wedding color theme is Champagne. The estimated cost for this wedding is $71,732.","
            
                Spring Wedding
                
                
            
        ","
        
            None specified
            
            
        
    ","
        
        
            
                    This estimate is based on having 400 guests with a range of more than 300 guests. Adding a single guest will likely add $179 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Romantic, Traditional, Modern 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Photography & Video,"
$71,732 is the Estimated Wedding Cost
","$2,768","$1,936",$258,$271,"$1,400","$31,249","$7,047","$6,500","$2,530"
855,"How much does a fall wedding in san franciso with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Fun, Simple, Modern. The wedding color theme is Greens. The estimated cost for this wedding is $49,527.","
            
                Fall Wedding
                
                
            
        ","
        
            san franciso
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $396 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Greens
            
        ",,,,"
$49,527 is the Estimated Wedding Cost
","$3,423",$427,$247,$353,"$1,360","$7,705","$1,531","$2,012",$545
856,"How much does a fall wedding in Albuquerque NM with 50 to 100 guests cost? The wedding is at a country club or golf course. The type of wedding is Elegant, Fun, Modern. The wedding color theme is Reds. The estimated cost for this wedding is $21,832.","
            
                Fall Wedding
                
                
            
        ","
        
            Albuquerque NM
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $291 to the total amount spent.
                    
                    
                
        

        ","
                
                a country club or golf course
            ","
    	    
            
            
                Reds
            
        ",,,,"
$21,832 is the Estimated Wedding Cost
","$1,951",$285,$231,"$1,043","$3,970","$4,908","$1,891",$381,$548
857,"How much does a wedding in Jacksonville FL with less than 25 guests cost? The wedding is at a garden or park. The type of wedding is DIY, Simple, Intimate. The wedding color theme is Other. The estimated cost for this wedding is $11,170.","
            
                None specified
                
            
        ","
        
            Jacksonville FL
            
            
        
    ","
        
        
            
                    This estimate is based on having 15 guests with a range of less than 25 guests. Adding a single guest will likely add $745 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Other
            
        ",,,,"
$11,170 is the Estimated Wedding Cost
","$1,867",$41,$274,$435,"$1,322",$693,"$4,000","$2,529",
858,"How much does a spring wedding in Cheektowaga ny with 150 to 200 guests cost? The wedding is at a banquet hall. The type of wedding is Casual, Romantic, Experience. The wedding color theme is Reds. The estimated cost for this wedding is $30,906.","
            
                Spring Wedding
                
                
            
        ","
        
            Cheektowaga ny
            
            
        
    ","
        
        
            
                    This estimate is based on having 175 guests with a range of 150 to 200 guests. Adding a single guest will likely add $177 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Reds
            
        ",,,,"
$30,906 is the Estimated Wedding Cost
","$2,614",$852,$183,$317,"$1,265","$7,027","$2,724","$3,403","$1,009"
859,"How much does a fall wedding in Orange CA with 25 to 50 guests cost? The wedding is at some other location. The type of wedding is Casual, Fun, Intimate. The wedding color theme is Oranges. The estimated cost for this wedding is $24,464.","
            
                Fall Wedding
                
                
            
        ","
        
            Orange CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 38 guests with a range of 25 to 50 guests. Adding a single guest will likely add $644 to the total amount spent.
                    
                    
                
        

        ","
                
                some other location
            ","
    	    
            
            
                Oranges
            
        ",,,,"
$24,464 is the Estimated Wedding Cost
","$2,657",$127,"$6,363","$2,113","$4,831","$1,801",$170,$927,"$3,254"
860,"How much does a summer wedding in Seattle WA with 100 to 150 guests cost? The type of wedding is Beach, Formal, Romantic. The wedding color theme is Blues. The estimated cost for this wedding is $35,837.","
            
                Summer Wedding
                
                
            
        ","
        
            Seattle WA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $287 to the total amount spent.
                    
                    
                
        

        ","
                
                None specified
            ","
    	    
            
            
                Blues
            
        ",,,,"
$35,837 is the Estimated Wedding Cost
","$2,576",$453,$463,"$1,611","$6,329","$9,610","$2,179",$578,$530
861,"How much does a summer wedding in Hood River OR with 200 to 300 guests cost? The wedding is at a winery. The type of wedding is Casual, Fun, Garden. The wedding color theme is Greens. The estimated cost for this wedding is $71,009.","
            
                Summer Wedding
                
                
            
        ","
        
            Hood River OR
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $284 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Greens
            
        ",,,,"
$71,009 is the Estimated Wedding Cost
","$1,792","$1,552",$268,$307,"$1,372","$22,627","$5,789","$4,275","$2,141"
862,"How much does a summer wedding in Colorado S with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at some other location. The type of wedding is Casual, DIY, Farm/Barn. The wedding color theme is Greens. The estimated cost for this wedding is $23,052.","
            
                Summer Wedding
                
                
            
        ","
        
            Colorado S
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $307 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Casual, DIY, Farm/Barn 
            
        ","Attire & Accessories (Wedding Dress, Suit, etc.)",Event Location/Venue,Photography & Video,"
$23,052 is the Estimated Wedding Cost
","$3,331",$65,"$2,176","$6,478",$844,"$1,656",$197,"$1,749","$4,341"
863,"How much does a fall wedding in Jupiter with 50 to 100 guests cost? The wedding is at an event facility. The type of wedding is Beach, Casual, Romantic. The wedding color theme is Pinks. The estimated cost for this wedding is $14,210.","
            
                Fall Wedding
                
                
            
        ","
        
            Jupiter
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $189 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$14,210 is the Estimated Wedding Cost
","$2,122",$255,$176,"$1,088","$3,480","$1,164",$355,"$4,734",$480
864,"How much does a fall wedding in Mesa AZ with 50 to 100 guests cost? The wedding is at a garden or park. The type of wedding is Romantic, Rustic, Vintage. The wedding color theme is Pinks. The estimated cost for this wedding is $19,448.","
            
                Fall Wedding
                
                
            
        ","
        
            Mesa AZ
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $259 to the total amount spent.
                    
                    
                
        

        ","
                
                a garden or park
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$19,448 is the Estimated Wedding Cost
","$1,840",$245,$164,$391,"$1,544","$3,862",$840,"$1,875",$328
865,"How much does a summer wedding in Healdsburg CA with 50 to 100 guests cost? The wedding is at a winery. The type of wedding is Elegant, Romantic, Rustic. The wedding color theme is Gold. The estimated cost for this wedding is $29,232.","
            
                Summer Wedding
                
                
            
        ","
        
            Healdsburg CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $390 to the total amount spent.
                    
                    
                
        

        ","
                
                a winery
            ","
    	    
            
            
                Gold
            
        ",,,,"
$29,232 is the Estimated Wedding Cost
","$3,291",$315,$203,$327,"$2,055","$5,013","$1,080","$2,294",$422
866,"How much does a spring wedding in Hilton Head Island SC with 100 to 150 guests cost? The wedding is at a resort or hotel. The type of wedding is Formal, Romantic, Modern. The wedding color theme is Black. The estimated cost for this wedding is $22,378.","
            
                Spring Wedding
                
                
            
        ","
        
            Hilton Head Island SC
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $179 to the total amount spent.
                    
                    
                
        

        ","
                
                a resort or hotel
            ","
    	    
            
            
                Black
            
        ",,,,"
$22,378 is the Estimated Wedding Cost
","$2,582",$505,$157,$256,"$5,163","$5,649","$2,633",$728,$630
867,"How much does a wedding in Huntington NY with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Formal, Traditional, Modern. The wedding color theme is Black. The estimated cost for this wedding is $29,669.","
            
                None specified
                
            
        ","
        
            Huntington NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $237 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Black
            
        ",,,,"
$29,669 is the Estimated Wedding Cost
","$4,209",$462,$216,$334,"$1,814","$5,195","$1,617","$2,939",$583
868,"How much does a summer wedding in New Rochelle NY with 100 to 150 guests cost? The wedding is at a banquet hall. The type of wedding is Beach, Garden. The wedding color theme is Oranges. The estimated cost for this wedding is $23,861.","
            
                Summer Wedding
                
                
            
        ","
        
            New Rochelle NY
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $191 to the total amount spent.
                    
                    
                
        

        ","
                
                a banquet hall
            ","
    	    
            
            
                Oranges
            
        ",,,,"
$23,861 is the Estimated Wedding Cost
","$3,142",$437,$208,$334,"$3,958","$7,396","$2,801",$574,$440
869,"How much does a summer wedding in Clovis CA with 200 to 300 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Fun, Romantic. The wedding color theme is Blues. The estimated cost for this wedding is $55,422.","
            
                Summer Wedding
                
                
            
        ","
        
            Clovis CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $222 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Blues
            
        ",,,,"
$55,422 is the Estimated Wedding Cost
","$2,146","$1,380",$95,$300,"$1,689","$18,623","$4,765","$4,796","$1,788"
870,"How much does a fall wedding in Lees Summit MO with 100 to 150 guests cost? The wedding is at a church or other place of worship. The type of wedding is Casual, Simple, Traditional. The wedding color theme is Greens. The estimated cost for this wedding is $24,011.","
            
                Fall Wedding
                
                
            
        ","
        
            Lees Summit MO
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $192 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Greens
            
        ",,,,"
$24,011 is the Estimated Wedding Cost
","$2,699",$357,$87,"$3,904","$4,898","$1,272",$449,$408,"$5,036"
871,"How much does a spring wedding in Camarillo CA with 50 to 100 guests cost? The ceremony is at a church or other place of worship and reception is at a historical building. The type of wedding is Fun, Romantic, Intimate. The wedding color theme is Pinks. The estimated cost for this wedding is $34,690.","
            
                Spring Wedding
                
                
            
        ","
        
            Camarillo CA
            
            
        
    ","
        
        
            
                    This estimate is based on having 75 guests with a range of 50 to 100 guests. Adding a single guest will likely add $463 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                Fun, Romantic, Intimate 
            
        ","Entertainment (DJ, Live Band, Musician/s, etc.)","Event Food Service, Catering, Bar Service",Flowers & Decorations,"
$34,690 is the Estimated Wedding Cost
","$2,956",$295,$332,$346,"$2,060","$5,048","$1,043","$3,254",$400
872,"How much does a fall wedding in Des Moines IA with 200 to 300 guests cost? The ceremony is at a church or other place of worship and reception is at an event facility.  The estimated cost for this wedding is $41,503.","
            
                Fall Wedding
                
                
            
        ","
        
            Des Moines IA
            
            
        
    ","
        
        
            
                    This estimate is based on having 250 guests with a range of 200 to 300 guests. Adding a single guest will likely add $166 to the total amount spent.
                    
                    
                
        

        ","
                
                a church or other place of worship
            ","
    	    
            
            
                None specified
            
        ",None specified,,,"
$41,503 is the Estimated Wedding Cost
","$2,283",$906,$94,$266,"$1,915","$13,057","$3,340","$3,500","$1,179"
873,"How much does a summer wedding in Portsmouth VA with 100 to 150 guests cost? The wedding is at an event facility. The type of wedding is Elegant, Formal, Modern. The wedding color theme is Pinks. The estimated cost for this wedding is $32,020.","
            
                Summer Wedding
                
                
            
        ","
        
            Portsmouth VA
            
            
        
    ","
        
        
            
                    This estimate is based on having 125 guests with a range of 100 to 150 guests. Adding a single guest will likely add $256 to the total amount spent.
                    
                    
                
        

        ","
                
                an event facility
            ","
    	    
            
            
                Pinks
            
        ",,,,"
$32,020 is the Estimated Wedding Cost
","$2,498",$436,$181,$281,"$4,743","$8,438","$2,999",$568,$421
